t,psFlux,psFluxErr,psMag,psMagErr
0,2.840240685424824e-05,1.5412281829167426e-06,20.266677761669193,0.05891638855021899
3,2.5469247907525928e-05,1.5218979907703071e-06,20.385025320575384,0.06487744571521929
6,2.6777994896487373e-05,1.5611107099522437e-06,20.330620486147968,0.06329653971414996
9,2.940654289947878e-05,1.5338452557180592e-06,20.22895569514668,0.05663199963090887
12,2.7663081671241675e-05,1.5503825959838462e-06,20.295314224943525,0.060850289049195476
15,2.797446430808915e-05,1.61408705781443e-06,20.283161175189967,0.06264544468127335
18,3.0482453299854572e-05,1.6404876077688502e-06,20.18994082948201,0.0584315432780534
21,3.0098108290053264e-05,1.6152193379667811e-06,20.203717621255166,0.05826619058432817
24,2.966209485889028e-05,1.6012889351202423e-06,20.21956107369619,0.05861276418302447
27,2.7507156076022335e-05,1.6483468737225115e-06,20.301451393157883,0.06506197419516012
30,2.7330629011510275e-05,1.6220803688363396e-06,20.30844155466013,0.0644387431672841
33,2.9232661749750504e-05,1.6252970577627008e-06,20.2353947188015,0.060365486872398476
36,2.9618817351366476e-05,1.6074231229295076e-06,20.22114633827347,0.05892326692947537
39,2.5559647836829606e-05,1.593608911258834e-06,20.381178457836207,0.06769416003790756
42,2.7532143055100816e-05,1.6408804208634194e-06,20.30046557865351,0.06470848553433275
45,2.7645312745727004e-05,1.6257914487496986e-06,20.296011853815887,0.06385099179485873
48,3.0108774951680593e-05,1.6505958500684512e-06,20.20333290840473,0.05952124178811226
51,2.5622485474221854e-05,1.5864426723335713e-06,20.378512483293783,0.06722447936827669
54,3.105276876006985e-05,1.5573985143848778e-06,20.169814799115784,0.054453242651860155
57,2.6948891137185396e-05,1.5555847460209924e-06,20.323713372214584,0.06267251107760678
60,2.84756860162513e-05,1.5949198976860497e-06,20.263880133294325,0.0608119599162107
63,3.099577673006458e-05,1.5924855219458845e-06,20.171809312517247,0.055782411964940964
66,2.832759997878045e-05,1.5858183361497948e-06,20.269541169754994,0.06078101861848076
69,2.941340046207711e-05,1.6350725134681178e-06,20.22870253257638,0.06035539575120057
72,2.6358342491944592e-05,1.5448574251716543e-06,20.347770380356188,0.06363479183908821
75,2.7087232563434727e-05,1.5295566321643358e-06,20.31815403105626,0.061309142928484966
78,2.3716676412323655e-05,1.4654015916835898e-06,20.4624310518798,0.06708526671023463
81,2.5883686311949118e-05,1.5079900304882912e-06,20.36750030251752,0.0632552625148918
84,2.5000416680970114e-05,1.4469484419894555e-06,20.40519750452834,0.06283912504074947
87,2.4352562417872297e-05,1.4985328141791711e-06,20.433703959391988,0.06681068309995797
380,3.1524120543419605e-05,1.7275896955799592e-06,20.153458173500724,0.0595006822434504
383,3.012926340696257e-05,1.7028445921164732e-06,20.202594336593855,0.061363598564118764
386,2.6144799385389543e-05,1.6998143490739238e-06,20.356602337921075,0.07058956364332548
389,3.25224004615932e-05,1.803700552046152e-06,20.11960913939063,0.06021520441615019
392,3.0239213357308532e-05,1.8533282613506763e-06,20.19863939917622,0.06654358262806892
395,3.230282197060358e-05,1.8123220208666338e-06,20.126964462528235,0.060914295182197535
398,2.823001927635658e-05,1.7171026600787262e-06,20.273287685539408,0.06604035608630932
401,2.830836512348849e-05,1.6766453454363387e-06,20.27027865094911,0.06430588789350414
404,2.980644710209627e-05,1.6876623668447328e-06,20.214290093129282,0.06147516095476718
407,3.17083667353276e-05,1.6530390779409309e-06,20.14713094090597,0.05660223340361592
410,2.6761321639783414e-05,1.7011144853078798e-06,20.3312967278414,0.06901608261348201
413,2.835790607948341e-05,1.6782991152581332e-06,20.268380222762318,0.06425686391449133
416,2.9339756241483485e-05,1.7358956599837462e-06,20.23142436891441,0.0642379149374816
419,3.181580485480936e-05,1.735120034569503e-06,20.143458336780732,0.059212163568714934
422,2.9571763135361092e-05,1.739701420976319e-06,20.222872574990376,0.06387366250626128
425,3.0082395257153224e-05,1.7034400275589046e-06,20.20428458922945,0.06148069310122847
428,3.186888770829306e-05,1.7156253851130507e-06,20.14164835743069,0.05844937581347164
431,2.995035374546532e-05,1.6630422914958793e-06,20.209060731696255,0.06028727544476439
434,2.8112958510005404e-05,1.6706827846428802e-06,20.27779924314799,0.06452258609876756
437,2.748324211221349e-05,1.6348512547480324e-06,20.30239571285,0.06458543680643052
440,2.7198401206208094e-05,1.6020385369921453e-06,20.31370718276005,0.0639519664351851
443,2.9203008057794474e-05,1.6784043605179522e-06,20.236496651570683,0.06240125595390067
446,2.7465053834881687e-05,1.6760167980736197e-06,20.303114485710275,0.06625554526094607
449,2.8771126154494396e-05,1.673716615569143e-06,20.252673469024025,0.0631610565492165
